filename,depth,samp_type
190715_Blk_KM1906U14-Blk_C.mzML,NA,Blk
190715_Poo_TruePooFK180310_Full1.mzML,NA,Poo
190715_Poo_TruePooFK180310_Full2.mzML,NA,Poo
190715_Poo_TruePooFK180310_Full3.mzML,NA,Poo
190715_Poo_TruePooFK180310_Half1.mzML,NA,Poo
190715_Poo_TruePooFK180310_Half2.mzML,NA,Poo
190715_Poo_TruePooFK180310_Half3.mzML,NA,Poo
190715_Smp_FK180310S62C1-25m_A.mzML,25m,Smp
190715_Smp_FK180310S62C1-25m_B.mzML,25m,Smp
190715_Smp_FK180310S62C1-25m_C.mzML,25m,Smp
190715_Smp_FK180310S62C1-DCM_A.mzML,DCM,Smp
190715_Smp_FK180310S62C1-DCM_B.mzML,DCM,Smp
190715_Smp_FK180310S62C1-DCM_C.mzML,DCM,Smp
190715_Smp_FK180310S64C1-25m_A.mzML,25m,Smp
190715_Smp_FK180310S64C1-25m_B.mzML,25m,Smp
190715_Smp_FK180310S64C1-25m_C.mzML,25m,Smp
190715_Smp_FK180310S64C1-DCM_A.mzML,DCM,Smp
190715_Smp_FK180310S64C1-DCM_B.mzML,DCM,Smp
190715_Smp_FK180310S64C1-DCM_C.mzML,DCM,Smp
190715_Smp_FK180310S77C1-25m_A.mzML,25m,Smp
190715_Smp_FK180310S77C1-25m_B.mzML,25m,Smp
190715_Smp_FK180310S77C1-25m_C.mzML,25m,Smp
190715_Smp_FK180310S77C1-DCM_A.mzML,DCM,Smp
190715_Smp_FK180310S77C1-DCM_B.mzML,DCM,Smp
190715_Smp_FK180310S77C1-DCM_C.mzML,DCM,Smp
190715_Smp_FK180310S80C1-25m_A.mzML,25m,Smp
190715_Smp_FK180310S80C1-25m_B.mzML,25m,Smp
190715_Smp_FK180310S80C1-25m_C.mzML,25m,Smp
190715_Smp_FK180310S80C1-DCM_A.mzML,DCM,Smp
190715_Smp_FK180310S80C1-DCM_B.mzML,DCM,Smp
190715_Smp_FK180310S80C1-DCM_C.mzML,DCM,Smp
190715_Std_4uMStdsMix1InH2O_1.mzML,NA,Std
