feature,norm_area,filename
FT0011,NA,170706_Blk_Blk0p2_1.mzML
FT0011,NA,170706_Blk_Blk0p2_2.mzML
FT0011,446172251.2,180821_Poo_Day1and2Poo_Full1.mzML
FT0011,349694485.2,180821_Poo_Day1and2Poo_Full2.mzML
FT0011,434974718.6,180821_Poo_Day1and2Poo_Full3.mzML
FT0011,591856031.3,180821_Poo_Day1and2Poo_Full4.mzML
FT0011,610568723.6,180821_Poo_Day1and2Poo_Full5.mzML
FT0011,643435020.7,180821_Poo_Day1and2Poo_Full6.mzML
FT0011,782736576.7,180821_Poo_Day1and2Poo_Half1.mzML
FT0011,839497926.5,180821_Poo_Day1and2Poo_Half2.mzML
FT0011,874866179.1,180821_Poo_Day1and2Poo_Half3.mzML
FT0011,949159110.8,180821_Poo_Day1and2Poo_Half4.mzML
FT0011,864532385.6,180821_Poo_Day1and2Poo_Half5.mzML
FT0011,750145660.1,180821_Poo_Day1and2Poo_Half6.mzML
FT0011,239899127.4,180821_Smp_MS10C215m_A.mzML
FT0011,66131269.64,180821_Smp_MS10C215m_B.mzML
FT0011,442585546.3,180821_Smp_MS10C215m_C.mzML
FT0011,287993754,180821_Smp_MS10C2175m_A.mzML
FT0011,297482433.2,180821_Smp_MS10C2175m_B.mzML
FT0011,422540004.1,180821_Smp_MS10C2175m_C.mzML
FT0011,358487434.1,180821_Smp_MS10C2DCM_A.mzML
FT0011,325018684.2,180821_Smp_MS10C2DCM_B.mzML
FT0011,441413905.3,180821_Smp_MS10C2DCM_C.mzML
FT0011,245752135.2,180821_Smp_MS11C215m_A.mzML
FT0011,359128629.4,180821_Smp_MS11C215m_B.mzML
FT0011,237312550.9,180821_Smp_MS11C215m_C.mzML
FT0011,519882757.7,180821_Smp_MS11C2175m_A.mzML
FT0011,545342736.1,180821_Smp_MS11C2175m_B.mzML
FT0011,526337462.2,180821_Smp_MS11C2175m_C.mzML
FT0011,451259261.7,180821_Smp_MS11C2DCM_A.mzML
FT0011,389779485,180821_Smp_MS11C2DCM_B.mzML
FT0011,385811972.1,180821_Smp_MS11C2DCM_C.mzML
FT0011,454497366.4,180821_Smp_MS12C115m_A.mzML
FT0011,271687377,180821_Smp_MS12C115m_B.mzML
FT0011,484042970.9,180821_Smp_MS12C115m_C.mzML
FT0011,455448784.9,180821_Smp_MS12C1175m_A.mzML
FT0011,338243478.6,180821_Smp_MS12C1175m_B.mzML
FT0011,551335646.2,180821_Smp_MS12C1175m_C.mzML
FT0011,303560260.7,180821_Smp_MS12C1DCM_A.mzML
FT0011,462513213.3,180821_Smp_MS12C1DCM_B.mzML
FT0011,555867504.5,180821_Smp_MS12C1DCM_C.mzML
FT0011,250890592.9,180821_Smp_MS13C2175m_A.mzML
FT0011,261814048.6,180821_Smp_MS13C2175m_B.mzML
FT0011,515819044.8,180821_Smp_MS13C2175m_C.mzML
FT0011,361135363.9,180821_Smp_MS13C2DCM_A.mzML
FT0011,535778179.2,180821_Smp_MS13C2DCM_B.mzML
