"feature","filename","mz","rt","M_area","depth","rank_area"
"FT0011","180821_Smp_MS10C215m_A.mzML",62.0608210948224,665.56519,151736931.532188,"15m",3
"FT0011","180821_Smp_MS10C215m_B.mzML",62.0607375111387,665.1767,111946819.18943,"15m",1
"FT0011","180821_Smp_MS10C215m_C.mzML",62.0607610165228,723.03345,319627667.298477,"15m",23
"FT0011","180821_Smp_MS10C2DCM_A.mzML",62.0607796601952,742.50293,459254836.453949,"DCM",50
"FT0011","180821_Smp_MS10C2DCM_B.mzML",62.0607396996633,707.58997,498063474.322662,"DCM",60
"FT0011","180821_Smp_MS10C2DCM_C.mzML",62.0607682694244,742.20227,560815143.438171,"DCM",65
"FT0011","180821_Smp_MS11C215m_A.mzML",62.0608111182351,715.50708,204643836.996643,"15m",5
"FT0011","180821_Smp_MS11C215m_B.mzML",62.0607870048428,689.74329,269152250.311127,"15m",15
"FT0011","180821_Smp_MS11C215m_C.mzML",62.0607896749248,716.58142,206829887.18158,"15m",7
"FT0011","180821_Smp_MS11C2DCM_A.mzML",62.0607128123928,729.26428,420131519.787354,"DCM",39
"FT0011","180821_Smp_MS11C2DCM_B.mzML",62.0608000886637,692.15265,240212392.375275,"DCM",10
"FT0011","180821_Smp_MS11C2DCM_C.mzML",62.060736868358,735.29242,482453978.01297,"DCM",56
"FT0011","180821_Smp_MS12C115m_A.mzML",62.0607650128397,700.78638,617231802.455811,"15m",66
"FT0011","180821_Smp_MS12C115m_B.mzML",62.0607592427101,746.6402,423662524.808899,"15m",40
"FT0011","180821_Smp_MS12C115m_C.mzML",62.0607236698435,747.02283,445199460.611298,"15m",44
"FT0011","180821_Smp_MS12C1DCM_A.mzML",62.0608022951888,702.76697,214195956.258453,"DCM",8
"FT0011","180821_Smp_MS12C1DCM_B.mzML",62.060717287638,746.49487,405136376.306824,"DCM",34
"FT0011","180821_Smp_MS12C1DCM_C.mzML",62.0607119983384,745.40442,458156668.37381,"DCM",49
"FT0011","180821_Smp_MS13C2DCM_A.mzML",62.0607709766475,712.92194,299084498.345383,"DCM",21
"FT0011","180821_Smp_MS13C2DCM_B.mzML",62.0607591865889,735.09961,472990537.204498,"DCM",52
"FT0011","180821_Smp_MS13C2DCM_C.mzML",62.0607657518221,720.46082,402355472.501251,"DCM",33
"FT0011","180821_Smp_MS13C315m_A.mzML",62.0607247814961,741.54529,387604962.457855,"15m",30
"FT0011","180821_Smp_MS13C315m_B.mzML",62.0607383746297,704.68445,311155490.152344,"15m",22
"FT0011","180821_Smp_MS13C315m_C.mzML",62.0607305700191,747.10297,426108033.786591,"15m",41
"FT0011","180821_Smp_MS14C215m_A.mzML",62.0607316897948,666.98755,139644427.296036,"15m",2
"FT0011","180821_Smp_MS14C215m_B.mzML",62.0607758182408,717.18707,263512031.300293,"15m",13
"FT0011","180821_Smp_MS14C215m_C.mzML",62.0607527057529,729.50513,411539574.255096,"15m",36
"FT0011","180821_Smp_MS14C2DCM_A.mzML",62.0607563677566,694.39709,335390082.036774,"DCM",26
"FT0011","180821_Smp_MS14C2DCM_B.mzML",62.0607612383662,701.70111,455511588.056702,"DCM",48
"FT0011","180821_Smp_MS14C2DCM_C.mzML",62.0607615625853,668.24408,278455388.364868,"DCM",16
"FT0011","180821_Smp_MS4C115m_A.mzML",62.0607809818751,682.08228,223396850.858063,"15m",9
"FT0011","180821_Smp_MS4C115m_B.mzML",62.0607605770177,725.96582,542613879.689941,"15m",64
"FT0011","180821_Smp_MS4C115m_C.mzML",62.0607688930451,736.62073,362591179.558594,"15m",29
"FT0011","180821_Smp_MS4C1DCM_A.mzML",62.0607807645524,700.89282,412317817.707886,"DCM",37
"FT0011","180821_Smp_MS4C1DCM_B.mzML",62.0607514191183,700.87689,154065614.98735,"DCM",4
