"feature","formula"
"FT0011","C2H8NO"
"FT0014","C2H8NO"
"FT0027","C4H8N"
"FT0042","C2H6NO2"
"FT0043","C3H10NO"
"FT0044",""
"FT0047",""
"FT0048","NA"
"FT0049",""
"FT0050",""
"FT0051","C2H7OS"
"FT0054",""
"FT0067","C4H6NO"
"FT0068","C4H6NO"
"FT0096","C4H7O2"
"FT0102",""
"FT0123","C3H8NO2"
"FT0124","C3H8NO2"
"FT0125","C3H8NO2"
"FT0126","C4H12NO"
"FT0128","C7H7; C3H10NP"
"FT0139",""
"FT0147","C6H8N"
"FT0167","C4H5N2O"
"FT0206","C4H8NO2"
"FT0233","C4H10NO2"
"FT0239","C5H14NO"
"FT0251",""
"FT0257","C4H12NO2"
"FT0258","C4H12NO2"
"FT0268","C7H10N; C3H13N2P"
"FT0273","C6H9N2"
"FT0276","C4H4N3O; H7N4OP"
"FT0279","C6H10N2"
"FT0281","C6H9NO"
"FT0284","C4H6N3O"
"FT0285","C4H6N3O"
"FT0286","C4H6N3O"
"FT0297","NA"
"FT0308","C4H8N3O"
"FT0309","C4H8N3O"
"FT0311","C6H12NO"
"FT0321","C5H11N2O"
"FT0330","C5H10NO2"
"FT0331","C5H10NO2"
"FT0340","C5H9O3"
"FT0345","C6H13S"
"FT0351","C3H8N3O2"
"FT0356","C5H12NO2; C3H10N4O"
"FT0357","C6H16NO"
"FT0368",""
"FT0369","C9H11; C5H14NP"
"FT0370","C6H15S"
"FT0375","C8H10N"
"FT0376","C8H10N"
"FT0378","C4H12N2O2"
"FT0379","C9H12"
"FT0382","C4H9O2S"
"FT0383","C6H5N2O"
"FT0391","C5H13OS"
"FT0395","C5H16NP; C9H13"
"FT0397","C6H4NS; C2H7N2PS"
"FT0400","C5H4N3O"
"FT0408","C4H12NO3; C2H10N4O2"
"FT0409",""
"FT0412","C3H10NPS"
"FT0417","C6H7N2O"
"FT0422",""
"FT0423","C7H11N2"
"FT0424",""
"FT0439","H12N8"
"FT0447","C6H9N2O; C4H7N5"
"FT0449","C2H11N3O3"
"FT0451","C2H8NO3S"
"FT0454","C5H8N3O; C3H6N6"
"FT0460","C4H18N2O2"
"FT0471","C5H7N2O2; C3H5N5O"
"FT0473","C3H7N6"
"FT0494","C5H9N2O2"
"FT0495","C5H9N2O2; C3H7N5O"
"FT0498","CH4N7O; C2H10O6"
"FT0499","C5H8NO3"
"FT0500","C5H8NO3; C3H6N4O2; CH11N2O3P"
"FT0501","C5H8NO3"
"FT0517","C6H11O3; C4H9N3O2"
"FT0525","C4H10N3O2"
"FT0527","C6H14NO2"
"FT0528","C6H14NO2; C4H12N4O"
"FT0531","C6H3N3O"
"FT0539","C5H11NO3"
"FT0540","C5H13N2S"
"FT0545",""
"FT0546","C7H17S"
"FT0547","C7H17S"
"FT0551","C3H6N2O4; C5H11PS"
"FT0552","C4H8NO4; H11N2O4P; C2H6N4O3"
"FT0555","C5H12NO3; C3H10N4O2"
"FT0556","C5H12NO3; C3H10N4O2"
"FT0565","C11H3; C7H6NP; C3H9N2P2; C3H7N2O2S"
"FT0566","C5H11S2; C5H3N4O; C4H7O5; C3HN7"
"FT0568","C5H11O2S"
"FT0577","C5H13PS"
"FT0579","C2H9N4OP"
"FT0580","C6H6N3O; C2H9N4OP; C4H4N6"
"FT0581","C5H6N5"
"FT0582","C5H6N5"
"FT0590","C4H12NPS"
"FT0591","C5H13S2; C5H5N4O"
"FT0592","C5H13S2; C5H5N4O"
"FT0595","C6H7N3O"
"FT0596","C5H13O2S; C3H11N3OS"
"FT0600","C5H15P2"
"FT0603","CH3N2O4P; C3H8P2S"
"FT0608","C7H8NO2"
"FT0609","C7H8NO2; C5H6N4O"
"FT0617","C4H4N4P"
"FT0618","C2H7N2O3S; C4H4N4P; C6H6NOP"
"FT0620","C6H7N2O2; C4H5N5O"
"FT0621","C6H7N2O2; C4H5N5O"
"FT0622","C6H7N2O2"
"FT0625","C2H9N3O4"
"FT0626","C4H14NPS; C2H9N3O4; C8H11S"
"FT0629",""
"FT0646","C3H6N7; C4H12O5"
"FT0658","C6H9N2O2; C4H7N5O"
"FT0672","C6H11N2O2; C4H9N5O"
"FT0673","C6H11N2O2"
"FT0675","C8H15O2; C6H13N3O"
"FT0684","H16O8"
"FT0686","C7H14NS; H16O8"
"FT0687","C7H14NO2"
"FT0689","C7H14NO2"
"FT0692","CH7O4P2"
"FT0693","CH7O4P2"
"FT0695","CH7O4P2"
"FT0699","C5H9N2O3"
"FT0708","C8H17S; C2H15N3O4"
"FT0709","C8H17S; C2H15N3O4"
"FT0721","C5H12N3O2; C3H10N6O"
"FT0725","C7H16NO2"
"FT0726","C7H16NO2"
"FT0727","C7H16NO2; C5H14N4O"
"FT0729","C4H5NOS2"
"FT0732","C3HNO6; C4H5NOS2"
"FT0736","C6H11O2S; C4H9N3OS"
"FT0737","C6H11O2S"
"FT0740","C5H11N2O3"
"FT0743",""
"FT0744","C6H15N2O2; C4H13N5O"
"FT0746","C8H19S"
"FT0751","C5H10NO2S; C3H8N4OS"
"FT0754","C5H10NO4"
"FT0758","C6H14NOS"
"FT0759","C6H14NO3"
"FT0762",""
"FT0770","C6H13O2S; C4H11N3OS"
"FT0771","C6H13O2S"
"FT0773","C7H17OS"
"FT0774","C7H18OP"
"FT0786","C6H16NO3; C4H14N4O2"
"FT0795",""
"FT0798","C6H19N2O2"
"FT0801","C5H6N5O"
"FT0802","C5H14NS2; C5H6N5O; C4H10NO5; C3H4N8"
"FT0806","C8H10NO2; C4H13N2O2P; C6H8N4O"
