Compound,Sample,Mean Concentration (nM),Standard Deviation of Concentration (nM),Mean Concentration C (nM C),Standard Deviation of Concentration C (nM C),Mean Concentration N (nM N),Standard Deviation of Concentration N (nM N)
(3-Carboxypropyl)trimethylammonium (TMAB),Aloha,0.04790544754875042,0.003818654158868516,0.3353381328412529,0.02673057911207959,0.04790544754875042,0.003818654158868516
(3-Carboxypropyl)trimethylammonium (TMAB),NP,0.03390079274907707,0.005575160493884875,0.23730554924353953,0.03902612345719413,0.03390079274907707,0.005575160493884875
(3-Carboxypropyl)trimethylammonium (TMAB),PS,0.1088781514245776,0.010774247135592512,0.7621470599720431,0.07541972994914752,0.1088781514245776,0.010774247135592512
4-Hydroxyisoleucine,Aloha,1.1397251389008178,0.23206322055108947,6.838350833404907,1.392379323306537,1.1397251389008178,0.23206322055108947
4-Hydroxyisoleucine,LW,2.247200418270665,0.6770759990930969,13.483202509623991,4.06245599455858,2.247200418270665,0.6770759990930969
5-Methylcytosine,LW,0.08661306435781312,0.013894601270863454,0.43306532178906554,0.06947300635431726,0.2598391930734393,0.04168380381259036
6-Methyladenine,LW,0.057243422724464095,0.032367263849377714,0.34346053634678453,0.19420358309626629,0.2862171136223205,0.16183631924688854
Adenine,LW,0.48847242679390407,0.18614761501825935,2.4423621339695205,0.9307380750912968,2.4423621339695205,0.9307380750912968
Adenosine,LW,1.8801118516119906,0.5261521383519264,18.801118516119907,5.261521383519265,9.400559258059953,2.6307606917596327
Asparagine,Aloha,2.1911365692202014,0.16476279109253056,8.764546276880806,0.6590511643701222,4.382273138440403,0.3295255821850611
Asparagine,LW,1.286179034167991,0.1784550658062485,5.144716136671964,0.713820263224994,2.572358068335982,0.356910131612497
Aspartic acid,Aloha,6.726477059771879,1.266368334848152,26.905908239087516,5.065473339392608,6.726477059771879,1.266368334848152
Aspartic acid,LW,6.078972931005114,2.024098419718789,24.315891724020457,8.096393678875156,6.078972931005114,2.024098419718789
Aspartic acid,PS,7.03561451363483,4.181228564194358,28.14245805453932,16.72491425677743,7.03561451363483,4.181228564194358
beta-Alanine,Aloha,2.104449527575892,0.38076019659517885,6.313348582727675,1.1422805897855364,2.104449527575892,0.38076019659517885
beta-Alanine,NP,1.7268133272184285,0.36806184271450143,5.180439981655285,1.1041855281435038,1.7268133272184285,0.36806184271450143
beta-Alanine,PS,2.484187855619234,0.6226792900439047,7.452563566857703,1.8680378701317142,2.484187855619234,0.6226792900439047
Betonicine,Aloha,0.061150132936447214,0.009977613710777178,0.42805093055513055,0.06984329597544024,0.061150132936447214,0.009977613710777178
Betonicine,LW,0.017728765715729677,0.005592644451173607,0.12410136001010773,0.039148511158215236,0.017728765715729677,0.005592644451173607
Betonicine,NP,0.019020957672192636,0.006890758497520363,0.13314670370534848,0.04823530948264253,0.019020957672192636,0.006890758497520363
Betonicine,PS,0.01575448214718924,0.003522142590929375,0.1102813750303247,0.02465499813650565,0.01575448214718924,0.003522142590929375
Creatine,Aloha,0.8993272559449916,0.04654849413969254,3.5973090237799665,0.18619397655877015,2.6979817678349747,0.13964548241907754
