"filename","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp","time","lat","lon","DCM_depth","sla","local_hour","temp","sal","theta","dic","alk","ph","oxy_um","PAR","PAR_perc","no23_um","po4_um","DON_um","DOP_um","si_um","PC_um","PN_um","chl_ug","phaeo_ug","beam_atten","het_abund","pro_abund","syn_abund","euk_abund"
"170706_Blk_Blk0p2_1.mzML","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-09 00:25:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170706_Blk_Blk0p2_2.mzML","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-11 18:16:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Std_4uMStdsInH2O_1.mzML","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 20:00:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Std_4uMStdsInMatrix_1.mzML","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 21:41:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Poo_TruePoo_Full1.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:03:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Poo_TruePoo_Half1.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:54:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Smp_L2C1DCMless20m_A.mzML","Smp","MC","L2",1,"DCMless20m",103,NA,"A","L2C1DCM-20m_A","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-06 04:25:48,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.533,35.201,22.512,2003.7,2319,8.059,215.87755511022,0.466321,0.9363333,0,0.0774419827724938,NA,0.143927607473825,1.12293756915081,2.14592966151194,0.321379673746951,0.2324,0.4592,0.0356651515151515,4.435,1.917,0.008,0.012
"180205_Smp_L1C33DCMplus10m_A.mzML","Smp","MC","L1",33,"DCMplus10m",114.5,11,"A","L1C33DCM+10m_A","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-06 05:16:17,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,17.708,34.851,17.689,2020.8,2332,8.054,218.947058823529,0.3578842,0.71,1.13998102915707,0.180094864976622,NA,0.112952193944691,3.58226503296613,2.36852455327166,0.379977569938078,0.284236842105263,0.621321052631579,0.049532,4.44052631578947,0.616631578947368,0.00226315789473684,0.0407368421052632
"180205_Smp_L2C2DCMplus20m_A.mzML","Smp","MC","L2",2,"DCMplus20m",143,NA,"A","L2C2DCM+20m_A","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-06 06:57:19,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.0075,35.256,20.9805,2003.7,2319,8.059,215.364516129032,0.05407,0.1074167,0.0866438751582992,0.0758687839088324,NA,0.12763485975931,1.54119898428614,1.27225217373061,0.232806595951109,0.147,0.3494,0.0279515151515152,3.484,0.285,0.001,0.012
"180205_Smp_L2C2DCMplus10m_A.mzML","Smp","MC","L2",2,"DCMplus10m",133,NA,"A","L2C2DCM+10m_A","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-06 07:47:49,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.222,35.256,21.196,2003.7,2319,8.059,214.028110599078,0.08934917,0.1783333,0.118475231099638,0.0653435760274332,NA,0.136875475666732,1.34956911041059,1.67803215319894,0.300175925283776,0.1818,0.4703,0.0313818181818182,3.718,0.421,0.001,0.015
"180205_Smp_L1C32DCMless10m_A.mzML","Smp","MC","L1",32,"DCMless10m",98.8,12,"A","L1C32DCM-10m_A","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-06 08:38:20,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,18.616,34.95,18.599,2020.8,2332,8.054,229.709505703422,0.7675973,1.523333,0,0.0748619939361892,NA,0.128157959064308,3.28131354138696,2.1483479758938,0.367295880156366,0.192264,0.309784,0.0390541792547835,4.71556,1.29928,0.013,0.02076
"180205_Smp_L1C32DCMless20m_A.mzML","Smp","MC","L1",32,"DCMless20m",88.8,17,"A","L1C32DCM-20m_A","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-06 11:09:50,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,19.039,34.984,19.023,2020.8,2332,8.054,233.663878326996,1.17226,2.326,0,0.0497717515281938,NA,0.135932260631034,3.69349410418637,2.55849628967331,0.416448122541613,0.166448,0.187024,0.0394519637462236,4.44984,1.66604,0.01324,0.01452
"180205_Smp_L2C2DCM_A.mzML","Smp","MC","L2",2,"DCM",123,NA,"A","L2C2DCM_A","180205_Smp_L2C2DCM",2018-02-05,2018-02-06 12:00:21,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.8080689655172,35.2286206896552,21.7840689655172,2003.7,2319,8.059,213.512825651303,0.142057203448276,0.284195406896552,0.0858615376850866,0.0699109275670953,NA,0.139784226272171,1.31022158239029,1.76659121789627,0.323024688567509,0.2008,0.5896,0.0362511961722488,3.753,0.581,0,0.022
