filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,timepoint_num,tripl,untripl,cast,station,cast_datetime,timestamp
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-A-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T0-A-noIS-neg.mzML,Amm-Surf-Morn-T0-A,Smp,noIS,neg,Amm,Surf,Morn,T0,0,A,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-27T03:57:00Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-A-wIS.mzML,210916_Smp_Amm-Surf-Morn-T0-A-wIS.mzML,Amm-Surf-Morn-T0-A,Smp,wIS,neg,Amm,Surf,Morn,T0,0,A,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-27T02:15:59Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-B-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T0-B-noIS-neg.mzML,Amm-Surf-Morn-T0-B,Smp,noIS,neg,Amm,Surf,Morn,T0,0,B,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-23T15:46:25Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-B-wIS.mzML,210916_Smp_Amm-Surf-Morn-T0-B-wIS.mzML,Amm-Surf-Morn-T0-B,Smp,wIS,neg,Amm,Surf,Morn,T0,0,B,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-23T14:05:24Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-C-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T0-C-noIS-neg.mzML,Amm-Surf-Morn-T0-C,Smp,noIS,neg,Amm,Surf,Morn,T0,0,C,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-22T01:03:08Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T0-C-wIS.mzML,210916_Smp_Amm-Surf-Morn-T0-C-wIS.mzML,Amm-Surf-Morn-T0-C,Smp,wIS,neg,Amm,Surf,Morn,T0,0,C,Amm-Surf-Morn-T0,34,2,2021-08-01T16:15:06Z,2021-09-21T23:22:07Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T1-A-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T1-A-noIS-neg.mzML,Amm-Surf-Morn-T1-A,Smp,noIS,neg,Amm,Surf,Morn,T1,1,A,Amm-Surf-Morn-T1,34,2,2021-08-01T16:15:06Z,2021-09-19T05:42:36Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T1-A-wIS.mzML,210916_Smp_Amm-Surf-Morn-T1-A-wIS.mzML,Amm-Surf-Morn-T1-A,Smp,wIS,neg,Amm,Surf,Morn,T1,1,A,Amm-Surf-Morn-T1,34,2,2021-08-01T16:15:06Z,2021-09-19T04:01:36Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T1-B-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T1-B-noIS-neg.mzML,Amm-Surf-Morn-T1-B,Smp,noIS,neg,Amm,Surf,Morn,T1,1,B,Amm-Surf-Morn-T1,34,2,2021-08-01T16:15:06Z,2021-09-19T11:36:09Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T1-B-wIS.mzML,210916_Smp_Amm-Surf-Morn-T1-B-wIS.mzML,Amm-Surf-Morn-T1-B,Smp,wIS,neg,Amm,Surf,Morn,T1,1,B,Amm-Surf-Morn-T1,34,2,2021-08-01T16:15:06Z,2021-09-19T09:55:07Z
mzMLs/neg/210916_Smp_Amm-Surf-Morn-T1-C-noIS-neg.mzML,210916_Smp_Amm-Surf-Morn-T1-C-noIS-neg.mzML,Amm-Surf-Morn-T1-C,Smp,noIS,neg,Amm,Surf,Morn,T1,1,C,Amm-Surf-Morn-T1,34,2,2021-08-01T16:15:06Z,2021-09-17T18:21:19Z
